Order Id,SKU,Order Date,Quantity,Selling Price,Discount,Marketplace Fee,Shipping Charge,Taxes
FK-260501-00310,FK-00090,01-05-2026,2,2556.78,96.66,288.57,40.00,183.18
FK-260603-00311,FK-00055,03-06-2026,1,1792.31,261.53,212.37,0.00,71.10
FK-260629-00312,FK-00083,29-06-2026,1,3374.06,10.94,462.42,40.00,525.78
FK-260816-00313,FK-00073,16-08-2026,2,1382.60,73.95,170.10,60.00,68.50
FK-260724-00314,FK-00038,24-07-2026,1,2867.37,190.28,392.53,80.00,211.69
FK-260812-00315,FK-00080,12-08-2026,1,3535.77,372.54,390.62,0.00,565.54
FK-260819-00316,FK-00012,19-08-2026,4,4322.24,28.01,542.72,0.00,448.09
FK-260816-00317,FK-00045,16-08-2026,2,658.54,102.22,82.25,0.00,55.01
FK-260725-00318,FK-00105,25-07-2026,3,1079.52,48.40,114.47,0.00,150.93
FK-260731-00319,FK-00092,31-07-2026,1,1288.70,175.35,136.42,40.00,199.76
FK-260502-00320,FK-00001,02-05-2026,1,705.73,55.77,91.56,0.00,102.97
FK-260720-00321,FK-00054,20-07-2026,1,1218.35,89.75,141.71,40.00,55.97
FK-260812-00322,FK-00096,12-08-2026,1,1699.59,87.40,204.91,0.00,190.80
FK-260825-00323,FK-00104,25-08-2026,4,11850.68,569.44,1336.13,0.00,1068.13
FK-260826-00324,FK-00075,26-08-2026,3,1776.18,117.60,235.56,0.00,242.16
FK-260504-00325,FK-00050,04-05-2026,2,6810.70,742.52,829.73,40.00,395.37
FK-260716-00326,FK-00081,16-07-2026,3,1109.82,85.50,116.80,0.00,108.04
FK-260620-00327,FK-00003,20-06-2026,2,373.86,21.90,38.53,120.00,13.13
FK-260722-00328,FK-00050,22-07-2026,4,13022.88,572.75,1446.59,40.00,2203.70
FK-260625-00329,FK-00016,25-06-2026,2,2346.22,256.50,296.39,0.00,63.20
FK-260519-00330,FK-00042,19-05-2026,1,1404.16,162.68,178.80,80.00,41.80
FK-260828-00331,FK-00078,28-08-2026,4,2462.32,320.51,309.71,0.00,115.79
FK-260526-00332,FK-00118,26-05-2026,3,3935.94,362.66,525.64,0.00,269.84
FK-260724-00333,FK-00100,24-07-2026,1,1582.32,48.27,165.90,0.00,235.03
FK-260710-00334,FK-00101,10-07-2026,1,1331.79,168.47,182.89,0.00,183.20
FK-260705-00335,FK-00081,05-07-2026,2,726.70,106.13,97.24,80.00,78.54
FK-260813-00336,FK-00103,13-08-2026,1,1474.09,47.81,202.26,40.00,88.00
FK-260526-00337,FK-00105,26-05-2026,1,337.36,21.45,45.62,0.00,39.00
FK-260614-00338,FK-00078,14-06-2026,4,2594.32,133.59,284.96,60.00,390.21
FK-260513-00339,FK-00087,13-05-2026,1,272.30,13.23,32.35,120.00,34.01
FK-260706-00340,FK-00098,06-07-2026,1,2143.71,188.41,258.19,0.00,189.64
FK-260717-00341,FK-00034,17-07-2026,1,2849.87,410.20,354.59,120.00,113.18
FK-260813-00342,FK-00034,13-08-2026,3,8093.10,343.18,955.79,0.00,549.78
FK-260704-00343,FK-00075,04-07-2026,1,635.11,5.39,80.55,0.00,51.04
FK-260826-00344,FK-00021,26-08-2026,1,1085.22,0.16,112.21,0.00,109.66
FK-260708-00345,FK-00042,08-07-2026,1,1428.90,49.17,169.60,120.00,105.55
FK-260706-00346,FK-00025,06-07-2026,3,3917.82,78.01,522.34,80.00,355.22
FK-260514-00347,FK-00049,14-05-2026,4,9319.56,232.13,1258.06,0.00,1207.90
FK-260520-00348,FK-00049,20-05-2026,1,2331.29,152.38,266.36,0.00,330.40
FK-260723-00349,FK-00048,23-07-2026,3,4388.43,215.19,492.05,0.00,147.05
FK-260721-00350,FK-00005,21-07-2026,2,4132.00,87.52,551.57,0.00,168.38
FK-260821-00351,FK-00087,21-08-2026,4,1075.92,126.90,123.22,0.00,170.38
FK-260603-00352,FK-00003,03-06-2026,1,204.05,23.79,22.61,40.00,18.16
FK-260804-00353,FK-00051,04-08-2026,2,1452.96,155.43,173.23,80.00,116.82
FK-260815-00354,FK-00029,15-08-2026,2,4079.70,290.06,471.00,80.00,308.28
FK-260810-00355,FK-00031,10-08-2026,1,1688.16,115.58,193.24,0.00,86.65
FK-260625-00356,FK-00057,25-06-2026,3,1698.75,244.94,185.12,0.00,167.25
FK-260620-00357,FK-00103,20-06-2026,1,1434.90,34.12,174.41,60.00,135.90
FK-260824-00358,FK-00090,24-08-2026,1,1164.24,62.70,129.62,60.00,165.94
FK-260801-00359,FK-00008,01-08-2026,2,5387.66,789.73,595.45,0.00,374.68
FK-260615-00360,FK-00107,15-06-2026,4,16255.48,128.83,2031.61,80.00,801.18
FK-260503-00361,FK-00071,03-05-2026,1,1694.57,77.52,175.07,0.00,65.88
FK-260709-00362,FK-00064,09-07-2026,1,1342.81,23.81,162.58,60.00,78.48
FK-260524-00363,FK-00004,24-05-2026,1,1909.73,166.50,262.82,40.00,160.84
FK-260818-00364,FK-00049,18-08-2026,1,2309.35,186.14,277.73,120.00,357.32
FK-260721-00365,FK-00020,21-07-2026,1,1385.69,126.30,176.73,0.00,78.27
FK-260601-00366,FK-00006,01-06-2026,2,2815.90,201.20,294.82,0.00,80.82
FK-260626-00367,FK-00059,26-06-2026,1,3051.29,320.02,420.82,0.00,208.37
FK-260527-00368,FK-00111,27-05-2026,4,2165.32,300.73,279.29,60.00,145.13
FK-260517-00369,FK-00043,17-05-2026,1,855.58,2.30,116.70,60.00,60.70
FK-260528-00370,FK-00061,28-05-2026,1,2131.00,163.39,275.51,0.00,307.73
FK-260519-00371,FK-00069,19-05-2026,1,633.06,46.86,81.20,0.00,89.23
FK-260727-00372,FK-00010,27-07-2026,1,2669.59,247.32,337.74,60.00,260.70
FK-260616-00373,FK-00104,16-06-2026,2,6164.28,15.70,739.85,120.00,402.46
FK-260817-00374,FK-00120,17-08-2026,2,5694.54,250.24,725.17,40.00,706.32
FK-260605-00375,FK-00118,05-06-2026,1,1252.16,82.94,168.69,0.00,173.07
FK-260512-00376,FK-00023,12-05-2026,2,7899.78,935.52,1040.84,0.00,555.97
FK-260618-00377,FK-00107,18-06-2026,1,3791.84,94.65,444.78,0.00,598.35
FK-260722-00378,FK-00078,22-07-2026,1,624.93,30.14,78.50,40.00,30.15
FK-260729-00379,FK-00052,29-07-2026,1,1076.39,125.96,114.65,80.00,143.36
FK-260516-00380,FK-00104,16-05-2026,1,3095.47,312.14,346.80,120.00,93.21
FK-260515-00381,FK-00097,15-05-2026,2,2932.02,363.66,311.23,120.00,332.17
FK-260617-00382,FK-00072,17-06-2026,1,2144.72,218.02,237.64,0.00,183.06
FK-260530-00383,FK-00063,30-05-2026,2,503.92,44.70,63.74,60.00,29.06
FK-260815-00384,FK-00039,15-08-2026,1,463.36,44.25,52.94,0.00,50.46
FK-260516-00385,FK-00085,16-05-2026,3,2526.33,280.94,348.61,80.00,200.01
FK-260827-00386,FK-00039,27-08-2026,1,480.69,20.67,57.35,0.00,61.55
FK-260827-00387,FK-00007,27-08-2026,1,2974.73,377.15,334.32,40.00,272.29
FK-260815-00388,FK-00107,15-08-2026,1,4077.68,373.30,433.79,120.00,599.80
FK-260624-00389,FK-00030,24-06-2026,2,2698.74,201.05,366.71,0.00,220.07
FK-260508-00390,FK-00105,08-05-2026,1,354.97,37.93,41.42,80.00,53.28
FK-260718-00391,FK-00119,18-07-2026,1,3965.81,558.24,453.25,0.00,344.70
FK-260718-00392,FK-00102,18-07-2026,1,1643.80,75.40,204.94,40.00,225.31
FK-260602-00393,FK-00080,02-06-2026,3,11237.73,276.42,1439.29,0.00,926.99
FK-260703-00394,FK-00118,03-07-2026,2,2721.18,23.23,373.94,0.00,321.82
FK-260706-00395,FK-00113,06-07-2026,2,5462.74,684.45,693.12,80.00,613.24
FK-260604-00396,FK-00070,04-06-2026,1,1549.93,243.19,171.30,80.00,83.85
FK-260702-00397,FK-00052,02-07-2026,3,3294.51,376.70,354.91,0.00,157.01
FK-260708-00398,FK-00008,08-07-2026,1,2666.56,3.94,302.54,0.00,227.83
FK-260714-00399,FK-00070,14-07-2026,1,1626.15,18.42,216.96,60.00,124.69
FK-260619-00400,FK-00111,19-06-2026,2,1019.72,33.98,137.56,0.00,149.62
